province_en,year,pm25_popwt,pm25_geomean,pop_coverage,geo_coverage,pop_million,pct_pop_ge5,pct_pop_ge10,pct_pop_ge15,pct_pop_ge25,pct_pop_ge35,t2m_mean_c,prec_total_mm,rh_mean_pct,n_city_days,macro_region
Anhui,1998,34.0,32.1,100.0,100.0,60.549,100.0,100.0,100.0,97.8,40.5,16.517698630136987,1128.65,76.457698630137,365,East China
Anhui,1999,34.2,32.4,100.0,100.0,60.549,100.0,100.0,100.0,96.6,45.5,16.15304109589041,1086.3600000000001,72.75487671232877,365,East China
Anhui,2000,39.2,36.8,100.0,100.0,60.549,100.0,100.0,100.0,99.4,90.2,16.334672131147542,990.2599999999999,73.51972677595629,366,East China
Anhui,2001,40.8,38.4,100.0,100.0,60.498,100.0,100.0,100.0,100.0,93.1,16.333616438356167,826.94,71.7893698630137,365,East China
Anhui,2002,45.5,42.8,100.0,100.0,60.448,100.0,100.0,100.0,100.0,95.0,16.18687671232877,1156.44,74.78238356164384,365,East China
Anhui,2003,50.9,47.7,100.0,100.0,60.398,100.0,100.0,100.0,100.0,98.7,15.163095890410961,1407.0600000000002,80.25032876712328,365,East China
Anhui,2004,50.2,47.1,100.0,100.0,60.347,100.0,100.0,100.0,100.0,97.7,16.268469945355193,942.6999999999998,71.3360655737705,366,East China
Anhui,2005,51.7,47.6,100.0,100.0,60.297,100.0,100.0,100.0,100.0,96.7,15.720273972602739,1130.45,73.85791780821917,365,East China
Anhui,2006,53.2,48.6,100.0,100.0,60.21,100.0,100.0,100.0,100.0,96.6,16.255260273972603,1089.73,75.24969863013699,365,East China
Anhui,2007,58.0,53.7,100.0,100.0,60.123,100.0,100.0,100.0,100.0,99.7,16.517342465753423,1064.07,74.48432876712329,365,East China
Anhui,2008,56.2,52.5,100.0,100.0,60.036,100.0,100.0,100.0,100.0,99.8,15.579726775956285,1041.84,74.10448087431693,366,East China
Anhui,2009,55.2,51.2,100.0,100.0,59.949,100.0,100.0,100.0,100.0,99.1,15.877397260273973,1130.43,74.03027397260274,365,East China
Anhui,2010,54.0,49.8,100.0,100.0,59.862,100.0,100.0,100.0,100.0,98.3,15.242438356164383,1252.7399999999998,77.11309589041096,365,East China
Anhui,2011,55.4,52.0,100.0,100.0,59.739,100.0,100.0,100.0,100.0,99.7,15.516493150684934,983.45,71.2007397260274,365,East China
Anhui,2012,51.0,47.6,100.0,100.0,59.616,100.0,100.0,100.0,100.0,98.2,15.552021857923497,993.46,72.4346174863388,366,East China
Anhui,2013,57.5,52.5,100.0,100.0,59.493,100.0,100.0,100.0,100.0,98.7,16.240301369863012,930.1600000000001,73.0075890410959,365,East China
Anhui,2014,62.5,57.1,100.0,100.0,59.37,100.0,100.0,100.0,100.0,99.5,15.98882191780822,1150.53,74.78397260273972,365,East China
Anhui,2015,57.5,52.8,100.0,100.0,59.246,100.0,100.0,100.0,100.0,99.2,15.746054794520546,1329.82,77.48216438356164,365,East China
Anhui,2016,52.1,47.6,100.0,100.0,59.021,100.0,100.0,100.0,100.0,97.4,16.15948087431694,1564.79,78.98336065573771,366,East China
Anhui,2017,53.1,48.4,100.0,100.0,58.796,100.0,100.0,100.0,99.9,96.3,16.23227397260274,1125.62,77.816,365,East China
Anhui,2018,48.2,43.7,100.0,100.0,58.571,100.0,100.0,100.0,99.4,92.9,16.322027397260275,1410.49,77.08904109589041,365,East China
Anhui,2019,45.3,41.2,100.0,100.0,58.346,100.0,100.0,100.0,99.5,91.7,17.027479452054795,743.72,69.37328767123287,365,East China
Anhui,2020,41.3,37.1,100.0,100.0,58.121,100.0,100.0,100.0,96.4,83.9,16.334644808743167,1790.75,78.86158469945356,366,East China
Anhui,2021,38.1,34.1,100.0,100.0,58.121,100.0,100.0,100.0,94.3,70.8,16.961479452054792,1285.19,76.98495890410959,365,East China
Anhui,2022,35.5,31.6,100.0,100.0,58.121,100.0,100.0,100.0,95.0,54.8,17.19772602739726,972.88,71.83797260273973,365,East China
Anhui,2023,35.5,31.6,100.0,100.0,58.121,100.0,100.0,100.0,94.4,59.1,16.99821917808219,1044.22,73.02991780821917,365,East China
Anhui,2024,36.6,32.4,100.0,100.0,58.121,100.0,100.0,100.0,94.2,67.6,16.78609289617486,1303.3,77.9985519125683,366,East China
Beijing,1998,37.7,29.5,100.0,100.0,13.885,100.0,100.0,100.0,98.2,78.5,12.086383561643835,669.81,54.32608219178081,365,North China
Beijing,1999,34.1,26.5,100.0,100.0,13.885,100.0,100.0,100.0,94.9,62.2,12.369506849315067,346.27000000000004,46.92523287671233,365,North China
Beijing,2000,46.4,36.9,100.0,100.0,13.885,100.0,100.0,100.0,100.0,95.9,11.548934426229508,430.44000000000005,47.999071038251365,366,North China
