split,n_train,n_cal,n_test,cov_GSCP,cov_sLSCP,cov_GBM,width_GSCP,width_sLSCP,width_GBM
A_leave_region_North China,401,171,135,0.7185185185185186,0.7185185185185186,0.48148148148148145,33.649671290393194,33.649671290393194,15.451012807319032
A_leave_region_Northeast China,432,184,81,1.0,1.0,0.8395061728395061,53.755009165933494,53.755009165933494,13.642749501592789
A_leave_region_East China,370,158,189,0.7936507936507936,0.7936507936507936,0.6084656084656085,37.1093377575884,37.1093377575884,14.687266105247076
A_leave_region_Central China,432,184,81,0.8395061728395061,0.8395061728395061,0.5925925925925926,31.795589552446742,31.795589552446742,14.793861627357927
A_leave_region_South China,432,184,81,1.0,1.0,0.2839506172839506,42.64259111225589,42.64259111225589,14.817145087911378
A_leave_region_Southwest China,401,171,135,0.9925925925925926,0.9925925925925926,0.35555555555555557,40.870012536177,40.870012536177,12.144298597015364
A_leave_region_Northwest China,401,171,135,0.8888888888888888,0.8888888888888888,0.2962962962962963,46.08222586086101,46.08222586086101,13.147766924816281
A2_leave_region_recent_North China,401,171,25,1.0,1.0,0.8,33.64967129039317,33.64967129039317,15.451012807319032
A2_leave_region_recent_Northeast China,432,184,15,1.0,1.0,0.9333333333333333,53.755009165933494,53.755009165933494,13.642749501592789
A2_leave_region_recent_East China,370,158,35,0.45714285714285713,0.45714285714285713,0.5428571428571428,37.10933775758832,37.10933775758832,14.687266105247076
A2_leave_region_recent_Central China,432,184,15,1.0,1.0,1.0,31.79558955244673,31.79558955244673,14.793861627357927
A2_leave_region_recent_South China,432,184,15,1.0,1.0,0.13333333333333333,42.642591112255865,42.642591112255865,14.817145087911378
A2_leave_region_recent_Southwest China,401,171,25,1.0,1.0,0.28,40.870012536176866,40.870012536176866,12.144298597015364
A2_leave_region_recent_Northwest China,401,171,25,0.88,0.88,0.4,46.082225860861,46.082225860861,13.147766924816281
B_leave_year,478,204,155,0.7935483870967742,0.7935483870967742,0.7483870967741936,25.736257771949347,25.736257771949347,13.7284350796362
C_Yangtze_Delta,416,178,108,1.0,1.0,0.5,40.19570686601505,40.19570686601505,12.417263388917881
