analysis,held_out,n_test,cov_sLSCP,cov_GBM,width_sLSCP,width_GBM
leave_region,North China,135,0.9925925925925926,0.6296296296296297,108.69261107247553,59.278621452079456
leave_region,Northeast China,81,0.9876543209876543,0.654320987654321,146.29835090271123,56.399676221264514
leave_region,East China,189,0.8518518518518519,0.6084656084656085,105.69841862429529,47.00145105886513
leave_region,Central China,81,0.9629629629629629,0.8024691358024691,99.18635225324311,58.88546155848513
leave_region,South China,81,0.9135802469135802,0.41975308641975306,140.90819142533218,55.37413765165496
leave_region,Southwest China,135,1.0,0.5703703703703704,122.74254095195055,52.62671192125521
leave_region,Northwest China,135,0.9851851851851852,0.43703703703703706,116.7161456019423,46.717556493681414
leave_year,2020-2024,155,0.7806451612903226,0.8387096774193549,71.99096551519186,60.79712496395672
leave_region,North China,50,0.62,0.78,22.33159774635065,25.469381770234435
leave_region,Northeast China,30,1.0,0.9,66.9703509033637,16.650136593993878
leave_region,East China,70,1.0,0.6285714285714286,74.06045585557473,12.770150777866675
leave_region,Central China,30,0.9666666666666667,0.8,41.26219355270103,18.40011559094762
leave_region,South China,30,1.0,0.3333333333333333,60.25887103489397,19.239319889039933
leave_region,Southwest China,50,1.0,0.58,67.48235406459122,25.172166217725845
leave_region,Northwest China,50,0.8,0.66,33.45661060058088,17.093789224277515
yrd_sub,YRD,108,1.0,0.4166666666666667,36.43686963201807,13.44244806928144
calfrac_20,North China,135,0.6444444444444445,0.4148148148148148,31.477280048344,13.278847865725837
calfrac_20,Northeast China,81,1.0,0.5679012345679012,57.47206181944856,12.118765268854872
calfrac_20,East China,189,0.873015873015873,0.42857142857142855,37.71235368846209,12.435095877683494
calfrac_20,Central China,81,0.8395061728395061,0.5185185185185185,33.52894465668043,13.030040086253976
calfrac_20,South China,81,1.0,0.3333333333333333,44.47637127545222,13.251706887918175
calfrac_20,Southwest China,135,1.0,0.3851851851851852,46.360709435424056,13.496764942836364
calfrac_20,Northwest China,135,0.9111111111111111,0.23703703703703705,47.69865387720248,10.150364546586374
calfrac_40,North China,135,0.7111111111111111,0.45925925925925926,32.95193974762558,14.526684678439864
calfrac_40,Northeast China,81,1.0,0.6172839506172839,56.448201845274426,12.838356846972147
calfrac_40,East China,189,0.9153439153439153,0.4497354497354497,41.99030146316791,13.08807673643038
calfrac_40,Central China,81,0.8024691358024691,0.5308641975308642,32.08076522244302,11.828308490739474
calfrac_40,South China,81,1.0,0.32098765432098764,45.587465043040886,14.388024681356043
calfrac_40,Southwest China,135,1.0,0.4148148148148148,50.64622221995032,14.79398079962776
calfrac_40,Northwest China,135,0.9037037037037037,0.3037037037037037,45.56746538701776,11.479066819119993
leave_region,North China,120,0.6833333333333333,0.4,33.98518343609049,13.096100073449648
leave_region,Northeast China,72,0.9861111111111112,0.5833333333333334,54.938806147301,11.371828147834805
leave_region,East China,168,0.9107142857142857,0.5,40.57039185049968,13.275953206750636
leave_region,Central China,72,0.8888888888888888,0.4444444444444444,36.15705488647143,12.076639702670633
leave_region,South China,72,1.0,0.3472222222222222,50.356727610831484,14.24409680225179
leave_region,Southwest China,120,1.0,0.2916666666666667,46.94562608733496,11.647884615809303
leave_region,Northwest China,120,0.9666666666666667,0.36666666666666664,53.60644127418656,12.114755854806262
leave_region,North China,135,0.7037037037037037,0.362962962962963,33.14272796579921,12.318402074761146
leave_region,Northeast China,81,1.0,0.5185185185185185,56.488873201498556,12.5107910407189
leave_region,East China,189,0.8835978835978836,0.4444444444444444,39.46369210164157,12.617420231436483
leave_region,Central China,81,0.7901234567901234,0.4691358024691358,31.76333491667038,11.801931561995069
leave_region,South China,81,1.0,0.32098765432098764,45.90294930798327,12.771847105009243
leave_region,Southwest China,135,1.0,0.3333333333333333,49.73995399535887,14.23531852610958
leave_region,Northwest China,135,0.9111111111111111,0.362962962962963,46.34993555562015,10.270697753440757
leave_year,2020-2024,155,0.7935483870967742,0.7483870967741936,25.736257771949347,13.7284350796362
